Month of data..

select * from solar_data where event like '%202206%' order by event desc

event	        solar_level	battery_level	battery_load	battery_state	        grid_level	load_level
20220612220014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220612214514	0.0 kW    	21%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220612213015	0.0 kW    	21%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220612211514	0.0 kW    	21%       	0.0 kW    	IDLE            	0.9 kW    	0.9 kW    
20220612210014	0.0 kW    	21%       	0.0 kW    	IDLE            	1.4 kW    	1.4 kW    
20220612204514	0.0 kW    	21%       	0.0 kW    	IDLE            	1.2 kW    	1.2 kW    
20220612203015	0.0 kW    	21%       	0.0 kW    	IDLE            	1.4 kW    	1.4 kW    
20220612201514	0.0 kW    	21%       	0.0 kW    	IDLE            	1.3 kW    	1.3 kW    
20220612200014	0.0 kW    	21%       	0.0 kW    	IDLE            	1.8 kW    	1.8 kW    
20220612194514	0.0 kW    	21%       	0.0 kW    	IDLE            	1.6 kW    	1.6 kW    
20220612193014	0.0 kW    	21%       	0.0 kW    	IDLE            	1.4 kW    	1.4 kW    
20220612191514	0.0 kW    	21%       	0.0 kW    	IDLE            	1.6 kW    	1.6 kW    
20220612190014	0.0 kW    	21%       	0.0 kW    	IDLE            	1.7 kW    	1.7 kW    
20220612184514	0.0 kW    	21%       	0.0 kW    	IDLE            	1.3 kW    	1.3 kW    
20220612183015	0.0 kW    	21%       	0.0 kW    	IDLE            	1.4 kW    	1.4 kW    
20220612181515	0.0 kW    	21%       	0.0 kW    	IDLE            	1.5 kW    	1.5 kW    
20220612180014	0.0 kW    	24%       	1.6 kW    	DISCHARGING     	0.0 kW    	1.6 kW    
20220612174514	0.0 kW    	28%       	1.5 kW    	DISCHARGING     	0.0 kW    	1.5 kW    
20220612173015	0.0 kW    	32%       	1.6 kW    	DISCHARGING     	0.0 kW    	1.6 kW    
20220612171514	0.1 kW    	35%       	1.6 kW    	DISCHARGING     	0.0 kW    	1.7 kW    
20220612170014	0.1 kW    	39%       	1.4 kW    	DISCHARGING     	0.0 kW    	1.5 kW    
20220612164514	0.1 kW    	42%       	1.3 kW    	DISCHARGING     	0.0 kW    	1.4 kW    
20220612163014	0.3 kW    	46%       	1.3 kW    	DISCHARGING     	0.1 kW    	1.5 kW    
20220612161514	0.2 kW    	48%       	1.1 kW    	DISCHARGING     	0.1 kW    	1.4 kW    
20220612160014	0.3 kW    	50%       	1.1 kW    	DISCHARGING     	0.0 kW    	1.4 kW    
20220612154514	0.9 kW    	52%       	0.1 kW    	DISCHARGING     	0.0 kW    	1.0 kW    
20220612153014	1.0 kW    	53%       	0.3 kW    	DISCHARGING     	0.0 kW    	1.3 kW    
20220612151514	1.0 kW    	53%       	0.2 kW    	DISCHARGING     	0.2 kW    	1.0 kW    
20220612150014	1.1 kW    	54%       	0.3 kW    	CHARGING        	0.1 kW    	0.9 kW    
20220612144514	1.4 kW    	54%       	0.1 kW    	DISCHARGING     	0.0 kW    	1.5 kW    
20220612143014	1.6 kW    	54%       	0.0 kW    	IDLE            	0.1 kW    	1.5 kW    
20220612141514	1.8 kW    	53%       	0.4 kW    	CHARGING        	0.0 kW    	1.4 kW    
20220612140015	2.2 kW    	51%       	0.8 kW    	CHARGING        	0.0 kW    	1.4 kW    
20220612134514	2.0 kW    	49%       	1.1 kW    	CHARGING        	0.0 kW    	0.9 kW    
20220612133014	2.5 kW    	47%       	0.6 kW    	CHARGING        	0.0 kW    	1.9 kW    
20220612131514	2.6 kW    	45%       	0.5 kW    	CHARGING        	0.0 kW    	2.1 kW    
20220612130014	2.9 kW    	43%       	0.7 kW    	CHARGING        	0.1 kW    	2.1 kW    
20220612124514	2.8 kW    	41%       	1.0 kW    	CHARGING        	0.0 kW    	1.8 kW    
20220612123015	2.9 kW    	38%       	2.1 kW    	CHARGING        	0.0 kW    	0.8 kW    
20220612121514	3.0 kW    	34%       	2.2 kW    	CHARGING        	0.0 kW    	0.8 kW    
20220612120015	3.1 kW    	28%       	2.3 kW    	CHARGING        	0.0 kW    	0.8 kW    
20220612114514	3.1 kW    	23%       	2.1 kW    	CHARGING        	0.0 kW    	1.0 kW    
20220612113014	3.2 kW    	21%       	0.6 kW    	DISCHARGING     	0.2 kW    	3.6 kW    
20220612111514	3.1 kW    	23%       	0.0 kW    	IDLE            	0.5 kW    	2.6 kW    
20220612110015	3.3 kW    	22%       	0.2 kW    	CHARGING        	1.1 kW    	4.2 kW    
20220612104514	0.4 kW    	21%       	1.6 kW    	DISCHARGING     	0.0 kW    	2.0 kW    
20220612103014	1.8 kW    	23%       	1.2 kW    	CHARGING        	0.2 kW    	0.4 kW    
20220612101514	0.8 kW    	22%       	0.4 kW    	CHARGING        	0.0 kW    	0.4 kW    
20220612100014	0.7 kW    	21%       	0.0 kW    	IDLE            	1.3 kW    	2.0 kW    
20220612094514	0.6 kW    	21%       	0.0 kW    	IDLE            	0.0 kW    	0.6 kW    
20220612093014	0.4 kW    	21%       	0.0 kW    	IDLE            	0.1 kW    	0.5 kW    
20220612091514	0.3 kW    	21%       	0.0 kW    	IDLE            	0.1 kW    	0.4 kW    
20220612090014	0.3 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	0.5 kW    
20220612084514	0.3 kW    	21%       	0.0 kW    	IDLE            	0.1 kW    	0.4 kW    
20220612083014	0.2 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	0.4 kW    
20220612081515	0.2 kW    	21%       	0.0 kW    	IDLE            	0.3 kW    	0.5 kW    
20220612080014	0.2 kW    	21%       	0.0 kW    	IDLE            	0.3 kW    	0.5 kW    
20220612074515	0.2 kW    	21%       	0.0 kW    	IDLE            	0.3 kW    	0.5 kW    
20220612073014	0.1 kW    	21%       	0.0 kW    	IDLE            	0.4 kW    	0.5 kW    
20220612071515	0.1 kW    	21%       	0.0 kW    	IDLE            	0.4 kW    	0.5 kW    
20220612070014	0.1 kW    	21%       	0.0 kW    	IDLE            	0.4 kW    	0.5 kW    
20220612064514	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220612063014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.4 kW    	0.4 kW    
20220612061514	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220612060014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.4 kW    	0.4 kW    
20220612054514	0.0 kW    	21%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220612053014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220612051514	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220612050014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220612044513	0.0 kW    	21%       	0.0 kW    	IDLE            	0.4 kW    	0.4 kW    
20220612043014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220612041514	0.0 kW    	21%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220612040014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.7 kW    	0.7 kW    
20220612034513	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220612033014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.4 kW    	0.4 kW    
20220612031513	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220612030013	0.0 kW    	21%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220612024513	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220612023014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.4 kW    	0.4 kW    
20220612021517	0.0 kW    	21%       	0.0 kW    	IDLE            	4.1 kW    	4.1 kW    
20220612020014	0.0 kW    	21%       	0.0 kW    	IDLE            	4.1 kW    	4.1 kW    
20220612014513	0.0 kW    	21%       	0.0 kW    	IDLE            	4.1 kW    	4.1 kW    
20220612013014	0.0 kW    	21%       	0.0 kW    	IDLE            	4.0 kW    	4.0 kW    
20220612011513	0.0 kW    	21%       	0.0 kW    	IDLE            	4.0 kW    	4.0 kW    
20220612010014	0.0 kW    	21%       	0.0 kW    	IDLE            	4.8 kW    	4.8 kW    
20220612004513	0.0 kW    	21%       	0.0 kW    	IDLE            	4.5 kW    	4.5 kW    
20220612003014	0.0 kW    	21%       	0.0 kW    	IDLE            	4.1 kW    	4.1 kW    
20220612001513	0.0 kW    	21%       	0.0 kW    	IDLE            	4.1 kW    	4.1 kW    
20220612000014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220611234513	0.0 kW    	21%       	0.0 kW    	IDLE            	0.4 kW    	0.4 kW    
20220611233013	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220611231514	0.0 kW    	21%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220611230014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220611224513	0.0 kW    	21%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220611223013	0.0 kW    	21%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220611221513	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220611220013	0.0 kW    	21%       	0.0 kW    	IDLE            	0.8 kW    	0.8 kW    
20220611214513	0.0 kW    	21%       	0.0 kW    	IDLE            	0.7 kW    	0.7 kW    
20220611213014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.7 kW    	0.7 kW    
20220611211513	0.0 kW    	21%       	0.0 kW    	IDLE            	0.7 kW    	0.7 kW    
20220611210013	0.0 kW    	21%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220611204514	0.0 kW    	21%       	0.0 kW    	IDLE            	0.7 kW    	0.7 kW    
20220611203014	0.0 kW    	21%       	0.0 kW    	IDLE            	1.1 kW    	1.1 kW    
20220611201513	0.0 kW    	21%       	0.0 kW    	IDLE            	1.0 kW    	1.0 kW    
20220611200013	0.0 kW    	21%       	0.0 kW    	IDLE            	1.1 kW    	1.1 kW    
20220611194513	0.0 kW    	21%       	0.0 kW    	IDLE            	1.0 kW    	1.0 kW    
20220611193014	0.0 kW    	21%       	0.0 kW    	IDLE            	1.3 kW    	1.3 kW    
20220611191513	0.0 kW    	21%       	0.0 kW    	IDLE            	0.9 kW    	0.9 kW    
20220611190014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220611184514	0.0 kW    	21%       	0.0 kW    	IDLE            	1.1 kW    	1.1 kW    
20220611183014	0.0 kW    	21%       	0.0 kW    	IDLE            	1.2 kW    	1.2 kW    
20220611181513	0.0 kW    	21%       	0.0 kW    	IDLE            	1.2 kW    	1.2 kW    
20220611180014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.8 kW    	0.8 kW    
20220611174513	0.0 kW    	21%       	0.0 kW    	IDLE            	1.1 kW    	1.1 kW    
20220611173013	0.0 kW    	23%       	1.1 kW    	DISCHARGING     	0.0 kW    	1.1 kW    
20220611171514	0.1 kW    	26%       	1.2 kW    	DISCHARGING     	0.1 kW    	1.4 kW    
20220611170013	0.1 kW    	29%       	1.2 kW    	DISCHARGING     	0.0 kW    	1.3 kW    
20220611164513	0.1 kW    	31%       	1.3 kW    	DISCHARGING     	0.2 kW    	1.2 kW    
20220611163013	0.2 kW    	34%       	1.5 kW    	DISCHARGING     	0.0 kW    	1.7 kW    
20220611161513	0.2 kW    	37%       	1.6 kW    	DISCHARGING     	0.0 kW    	1.8 kW    
20220611160013	0.5 kW    	41%       	1.3 kW    	DISCHARGING     	0.2 kW    	1.6 kW    
20220611153013	1.0 kW    	44%       	0.2 kW    	CHARGING        	0.2 kW    	0.6 kW    
20220611151513	1.1 kW    	43%       	0.5 kW    	CHARGING        	0.0 kW    	0.6 kW    
20220611150014	1.2 kW    	42%       	0.6 kW    	CHARGING        	0.0 kW    	0.6 kW    
20220611144513	1.2 kW    	43%       	0.2 kW    	DISCHARGING     	0.1 kW    	1.3 kW    
20220611143014	1.7 kW    	42%       	1.0 kW    	CHARGING        	0.0 kW    	0.7 kW    
20220611141514	1.7 kW    	40%       	0.9 kW    	CHARGING        	0.0 kW    	0.8 kW    
20220611140014	2.2 kW    	37%       	1.2 kW    	CHARGING        	0.1 kW    	0.9 kW    
20220611134514	2.3 kW    	34%       	1.5 kW    	CHARGING        	0.2 kW    	0.6 kW    
20220611133014	2.5 kW    	31%       	1.7 kW    	CHARGING        	0.1 kW    	0.7 kW    
20220611131513	2.6 kW    	28%       	0.6 kW    	DISCHARGING     	0.1 kW    	3.3 kW    
20220611130014	2.8 kW    	30%       	0.1 kW    	DISCHARGING     	0.1 kW    	3.0 kW    
20220611124513	3.1 kW    	27%       	1.1 kW    	CHARGING        	0.2 kW    	1.8 kW    
20220611123014	3.1 kW    	24%       	1.1 kW    	CHARGING        	0.1 kW    	1.9 kW    
20220611121513	2.0 kW    	23%       	0.0 kW    	IDLE            	0.0 kW    	2.0 kW    
20220611120014	1.2 kW    	22%       	0.0 kW    	IDLE            	2.4 kW    	3.6 kW    
20220611114513	2.7 kW    	21%       	0.0 kW    	IDLE            	1.3 kW    	4.0 kW    
20220611113014	1.8 kW    	25%       	2.8 kW    	DISCHARGING     	0.2 kW    	4.4 kW    
20220611111513	2.5 kW    	26%       	0.5 kW    	CHARGING        	0.2 kW    	2.2 kW    
20220611110014	2.8 kW    	26%       	0.4 kW    	DISCHARGING     	0.4 kW    	2.8 kW    
20220611104513	2.7 kW    	23%       	2.0 kW    	CHARGING        	0.0 kW    	0.7 kW    
20220611103013	1.9 kW    	21%       	1.3 kW    	CHARGING        	0.2 kW    	0.8 kW    
20220611101513	0.8 kW    	21%       	0.0 kW    	IDLE            	0.1 kW    	0.9 kW    
20220611100013	0.7 kW    	21%       	0.0 kW    	IDLE            	1.1 kW    	1.8 kW    
20220611094514	0.6 kW    	21%       	0.0 kW    	IDLE            	3.4 kW    	4.0 kW    
20220611093013	0.4 kW    	21%       	0.0 kW    	IDLE            	2.1 kW    	2.5 kW    
20220611091513	0.3 kW    	21%       	0.0 kW    	IDLE            	1.6 kW    	1.9 kW    
20220611090014	0.3 kW    	21%       	0.0 kW    	IDLE            	2.2 kW    	2.5 kW    
20220611084513	0.3 kW    	21%       	0.0 kW    	IDLE            	4.2 kW    	4.5 kW    
20220611083014	0.2 kW    	21%       	0.0 kW    	IDLE            	4.8 kW    	5.0 kW    
20220611081513	0.2 kW    	21%       	0.0 kW    	IDLE            	5.0 kW    	5.2 kW    
20220611080014	0.2 kW    	21%       	0.0 kW    	IDLE            	2.7 kW    	2.9 kW    
20220611074514	0.2 kW    	21%       	0.0 kW    	IDLE            	2.0 kW    	2.2 kW    
20220611073014	0.1 kW    	21%       	0.0 kW    	IDLE            	2.8 kW    	2.9 kW    
20220611071513	0.1 kW    	21%       	0.0 kW    	IDLE            	0.4 kW    	0.5 kW    
20220611070014	0.1 kW    	21%       	0.0 kW    	IDLE            	0.4 kW    	0.5 kW    
20220611064513	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220611063014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220611061513	0.0 kW    	21%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220611060013	0.0 kW    	21%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220611054513	0.0 kW    	21%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220611053014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220611051513	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220611050014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220611044513	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220611043014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220611041515	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220611040013	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220611034513	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220611033013	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220611031513	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220611030013	0.0 kW    	21%       	0.0 kW    	IDLE            	0.3 kW    	0.3 kW    
20220611024514	0.0 kW    	21%       	0.0 kW    	IDLE            	0.3 kW    	0.3 kW    
20220611023013	0.0 kW    	21%       	0.0 kW    	IDLE            	3.9 kW    	3.9 kW    
20220611021517	0.0 kW    	21%       	0.0 kW    	IDLE            	3.8 kW    	3.8 kW    
20220611020014	0.0 kW    	21%       	0.0 kW    	IDLE            	3.8 kW    	3.8 kW    
20220611014514	0.0 kW    	21%       	0.0 kW    	IDLE            	3.8 kW    	3.8 kW    
20220611013014	0.0 kW    	21%       	0.0 kW    	IDLE            	3.9 kW    	3.9 kW    
20220611011514	0.0 kW    	21%       	0.0 kW    	IDLE            	3.9 kW    	3.9 kW    
20220611010014	0.0 kW    	21%       	0.0 kW    	IDLE            	3.9 kW    	3.9 kW    
20220611004514	0.0 kW    	21%       	0.0 kW    	IDLE            	3.8 kW    	3.8 kW    
20220611003014	0.0 kW    	21%       	0.0 kW    	IDLE            	3.9 kW    	3.9 kW    
20220611001514	0.0 kW    	21%       	0.0 kW    	IDLE            	3.8 kW    	3.8 kW    
20220611000014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	0.2 kW    
20220610234514	0.0 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	0.2 kW    
20220610233014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.3 kW    	0.3 kW    
20220610231514	0.0 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	0.2 kW    
20220610230014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	0.2 kW    
20220610224514	0.0 kW    	21%       	0.0 kW    	IDLE            	0.3 kW    	0.3 kW    
20220610223014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.3 kW    	0.3 kW    
20220610221514	0.0 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	0.2 kW    
20220610220014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.3 kW    	0.3 kW    
20220610214514	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220610213014	0.0 kW    	21%       	0.0 kW    	IDLE            	1.2 kW    	1.2 kW    
20220610211514	0.0 kW    	21%       	0.0 kW    	IDLE            	1.4 kW    	1.4 kW    
20220610210014	0.0 kW    	21%       	0.0 kW    	IDLE            	1.3 kW    	1.3 kW    
20220610204514	0.0 kW    	21%       	0.0 kW    	IDLE            	1.7 kW    	1.7 kW    
20220610203014	0.0 kW    	21%       	0.0 kW    	IDLE            	3.7 kW    	3.7 kW    
20220610201514	0.0 kW    	21%       	0.0 kW    	IDLE            	1.4 kW    	1.4 kW    
20220610200014	0.0 kW    	21%       	0.0 kW    	IDLE            	1.4 kW    	1.4 kW    
20220610194514	0.0 kW    	21%       	0.0 kW    	IDLE            	1.5 kW    	1.5 kW    
20220610193014	0.0 kW    	21%       	0.0 kW    	IDLE            	1.5 kW    	1.5 kW    
20220610191514	0.0 kW    	21%       	0.0 kW    	IDLE            	1.4 kW    	1.4 kW    
20220610190014	0.0 kW    	21%       	0.0 kW    	IDLE            	1.5 kW    	1.5 kW    
20220610184514	0.0 kW    	21%       	0.0 kW    	IDLE            	1.4 kW    	1.4 kW    
20220610183014	0.0 kW    	22%       	4.3 kW    	DISCHARGING     	1.2 kW    	3.1 kW    
20220610181514	0.0 kW    	26%       	1.4 kW    	DISCHARGING     	0.0 kW    	1.4 kW    
20220610180014	0.0 kW    	29%       	1.4 kW    	DISCHARGING     	0.1 kW    	1.5 kW    
20220610174514	0.0 kW    	32%       	1.2 kW    	DISCHARGING     	0.0 kW    	1.2 kW    
20220610173014	0.0 kW    	36%       	1.4 kW    	DISCHARGING     	0.2 kW    	1.2 kW    
20220610171514	0.0 kW    	41%       	2.8 kW    	DISCHARGING     	0.7 kW    	3.5 kW    
20220610170014	0.1 kW    	49%       	1.5 kW    	DISCHARGING     	0.2 kW    	1.4 kW    
20220610164514	0.1 kW    	51%       	1.2 kW    	DISCHARGING     	0.0 kW    	1.3 kW    
20220610163014	0.1 kW    	53%       	0.7 kW    	DISCHARGING     	0.0 kW    	0.8 kW    
20220610161514	0.2 kW    	55%       	0.5 kW    	DISCHARGING     	0.0 kW    	0.7 kW    
20220610160014	0.6 kW    	58%       	0.3 kW    	DISCHARGING     	0.0 kW    	0.9 kW    
20220610154514	0.9 kW    	58%       	0.1 kW    	CHARGING        	0.0 kW    	0.8 kW    
20220610153014	1.3 kW    	58%       	0.6 kW    	DISCHARGING     	0.2 kW    	1.7 kW    
20220610151514	1.2 kW    	59%       	0.1 kW    	DISCHARGING     	0.1 kW    	1.2 kW    
20220610150014	1.2 kW    	58%       	0.5 kW    	CHARGING        	0.0 kW    	0.7 kW    
20220610144514	1.4 kW    	57%       	0.7 kW    	CHARGING        	0.0 kW    	0.7 kW    
20220610143014	1.6 kW    	55%       	0.8 kW    	CHARGING        	0.0 kW    	0.8 kW    
20220610141514	1.9 kW    	53%       	0.9 kW    	CHARGING        	0.0 kW    	1.0 kW    
20220610140014	2.1 kW    	52%       	1.1 kW    	DISCHARGING     	0.0 kW    	3.2 kW    
20220610134514	2.3 kW    	50%       	0.8 kW    	DISCHARGING     	0.0 kW    	3.1 kW    
20220610133014	2.5 kW    	52%       	0.4 kW    	DISCHARGING     	0.0 kW    	2.9 kW    
20220610131514	2.6 kW    	52%       	0.2 kW    	CHARGING        	0.0 kW    	2.4 kW    
20220610130016	2.8 kW    	51%       	1.7 kW    	CHARGING        	0.0 kW    	1.1 kW    
20220610124514	2.9 kW    	47%       	1.8 kW    	CHARGING        	0.0 kW    	1.1 kW    
20220610123014	3.0 kW    	44%       	0.7 kW    	DISCHARGING     	0.0 kW    	3.7 kW    
20220610121514	3.1 kW    	41%       	1.8 kW    	CHARGING        	0.0 kW    	1.3 kW    
20220610120014	3.1 kW    	37%       	1.8 kW    	CHARGING        	0.0 kW    	1.3 kW    
20220610114514	3.2 kW    	33%       	1.9 kW    	CHARGING        	0.0 kW    	1.3 kW    
20220610113014	3.2 kW    	29%       	1.9 kW    	CHARGING        	0.0 kW    	1.3 kW    
20220610111514	3.2 kW    	25%       	1.7 kW    	CHARGING        	0.0 kW    	1.5 kW    
20220610110014	2.9 kW    	21%       	1.4 kW    	CHARGING        	0.1 kW    	1.4 kW    
20220610104514	2.1 kW    	20%       	0.0 kW    	IDLE            	1.2 kW    	3.3 kW    
20220610103014	0.9 kW    	20%       	0.0 kW    	IDLE            	0.5 kW    	1.4 kW    
20220610101514	0.8 kW    	20%       	0.0 kW    	IDLE            	2.1 kW    	2.9 kW    
20220610100014	0.7 kW    	20%       	0.0 kW    	IDLE            	4.2 kW    	4.9 kW    
20220610094514	0.5 kW    	20%       	0.0 kW    	IDLE            	2.1 kW    	2.6 kW    
20220610093014	0.3 kW    	20%       	0.0 kW    	IDLE            	6.2 kW    	6.5 kW    
20220610091514	0.3 kW    	20%       	0.0 kW    	IDLE            	5.1 kW    	5.4 kW    
20220610090014	0.3 kW    	20%       	0.0 kW    	IDLE            	2.6 kW    	2.9 kW    
20220610084514	0.2 kW    	20%       	0.0 kW    	IDLE            	2.0 kW    	2.2 kW    
20220610083014	0.2 kW    	20%       	0.0 kW    	IDLE            	2.8 kW    	3.0 kW    
20220610081514	0.2 kW    	20%       	0.0 kW    	IDLE            	2.5 kW    	2.7 kW    
20220610080014	0.2 kW    	20%       	0.0 kW    	IDLE            	0.4 kW    	0.6 kW    
20220610074514	0.2 kW    	20%       	0.0 kW    	IDLE            	0.3 kW    	0.5 kW    
20220610073014	0.1 kW    	20%       	0.0 kW    	IDLE            	0.4 kW    	0.5 kW    
20220610071514	0.1 kW    	20%       	0.0 kW    	IDLE            	0.4 kW    	0.5 kW    
20220610070014	0.1 kW    	20%       	0.0 kW    	IDLE            	0.5 kW    	0.6 kW    
20220610064514	0.1 kW    	20%       	0.0 kW    	IDLE            	0.5 kW    	0.6 kW    
20220610063014	0.0 kW    	20%       	0.0 kW    	IDLE            	0.7 kW    	0.7 kW    
20220610061513	0.0 kW    	20%       	0.0 kW    	IDLE            	0.7 kW    	0.7 kW    
20220610060014	0.0 kW    	20%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220610054514	0.0 kW    	20%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220610053014	0.0 kW    	20%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220610051514	0.0 kW    	20%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220610050014	0.0 kW    	20%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220610044513	0.0 kW    	20%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220610043013	0.0 kW    	20%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220610041513	0.0 kW    	20%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220610040013	0.0 kW    	20%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220610034513	0.0 kW    	20%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220610033013	0.0 kW    	20%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220610031514	0.0 kW    	20%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220610030013	0.0 kW    	20%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220610024514	0.0 kW    	20%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220610023013	0.0 kW    	20%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220610021517	0.0 kW    	20%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220610020014	0.0 kW    	20%       	0.0 kW    	IDLE            	4.2 kW    	4.2 kW    
20220610014514	0.0 kW    	20%       	0.0 kW    	IDLE            	4.2 kW    	4.2 kW    
20220610013014	0.0 kW    	20%       	0.0 kW    	IDLE            	4.2 kW    	4.2 kW    
20220610011514	0.0 kW    	20%       	0.0 kW    	IDLE            	4.2 kW    	4.2 kW    
20220610010014	0.0 kW    	20%       	0.0 kW    	IDLE            	4.2 kW    	4.2 kW    
20220610004514	0.0 kW    	20%       	0.0 kW    	IDLE            	4.2 kW    	4.2 kW    
20220610003014	0.0 kW    	20%       	0.0 kW    	IDLE            	4.3 kW    	4.3 kW    
20220610001516	0.0 kW    	20%       	0.0 kW    	IDLE            	4.3 kW    	4.3 kW    
20220610000014	0.0 kW    	20%       	0.0 kW    	IDLE            	0.7 kW    	0.7 kW    
20220609234514	0.0 kW    	20%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220609233014	0.0 kW    	20%       	0.0 kW    	IDLE            	0.7 kW    	0.7 kW    
20220609231514	0.0 kW    	20%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220609230014	0.0 kW    	20%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220609224514	0.0 kW    	20%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220609223014	0.0 kW    	20%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
