Month of data..

select * from solar_data where event like '%202206%' order by event desc

event	        solar_level	battery_level	battery_load	battery_state	        grid_level	load_level
20220615053014	0.0 kW    	22%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220615051514	0.0 kW    	22%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220615050014	0.0 kW    	22%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220615044513	0.0 kW    	22%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220615043013	0.0 kW    	22%       	0.0 kW    	IDLE            	0.4 kW    	0.4 kW    
20220615041513	0.0 kW    	22%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220615040013	0.0 kW    	22%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220615034514	0.0 kW    	22%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220615033013	0.0 kW    	22%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220615031514	0.0 kW    	22%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220615030013	0.0 kW    	22%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220615024514	0.0 kW    	22%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220615023014	0.0 kW    	22%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220615021517	0.0 kW    	22%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220615020015	0.0 kW    	22%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220615014514	0.0 kW    	22%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220615013014	0.0 kW    	22%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220615011514	0.0 kW    	22%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220615010014	0.0 kW    	22%       	0.0 kW    	IDLE            	0.4 kW    	0.4 kW    
20220615004514	0.0 kW    	22%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220615003014	0.0 kW    	22%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220615001514	0.0 kW    	22%       	0.0 kW    	IDLE            	0.7 kW    	0.7 kW    
20220615000014	0.0 kW    	22%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220614234514	0.0 kW    	22%       	0.0 kW    	IDLE            	0.7 kW    	0.7 kW    
20220614233014	0.0 kW    	22%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220614231514	0.0 kW    	22%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220614230015	0.0 kW    	22%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220614224514	0.0 kW    	22%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220614223014	0.0 kW    	22%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220614221514	0.0 kW    	22%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220614220014	0.0 kW    	22%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220614214514	0.0 kW    	22%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220614213014	0.0 kW    	22%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220614211514	0.0 kW    	22%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220614210016	0.0 kW    	22%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220614204514	0.0 kW    	22%       	0.0 kW    	IDLE            	2.0 kW    	2.0 kW    
20220614203014	0.0 kW    	22%       	0.0 kW    	IDLE            	1.8 kW    	1.8 kW    
20220614201514	0.0 kW    	22%       	0.0 kW    	IDLE            	1.5 kW    	1.5 kW    
20220614200014	0.0 kW    	22%       	0.0 kW    	IDLE            	1.9 kW    	1.9 kW    
20220614194514	0.0 kW    	22%       	0.0 kW    	IDLE            	1.5 kW    	1.5 kW    
20220614193014	0.0 kW    	22%       	0.0 kW    	IDLE            	1.3 kW    	1.3 kW    
20220614191514	0.0 kW    	22%       	0.0 kW    	IDLE            	1.1 kW    	1.1 kW    
20220614190015	0.0 kW    	22%       	0.0 kW    	IDLE            	1.7 kW    	1.7 kW    
20220614184514	0.0 kW    	22%       	0.0 kW    	IDLE            	1.2 kW    	1.2 kW    
20220614183015	0.0 kW    	22%       	0.0 kW    	IDLE            	1.1 kW    	1.1 kW    
20220614181514	0.0 kW    	22%       	0.0 kW    	IDLE            	1.3 kW    	1.3 kW    
20220614180014	0.0 kW    	22%       	0.0 kW    	IDLE            	1.3 kW    	1.3 kW    
20220614174514	0.0 kW    	22%       	0.0 kW    	IDLE            	1.4 kW    	1.4 kW    
20220614173014	0.0 kW    	22%       	0.0 kW    	IDLE            	1.6 kW    	1.6 kW    
20220614171514	0.1 kW    	22%       	0.0 kW    	IDLE            	1.3 kW    	1.4 kW    
20220614170014	0.1 kW    	22%       	0.0 kW    	IDLE            	1.7 kW    	1.8 kW    
20220614164514	0.1 kW    	22%       	0.0 kW    	IDLE            	1.4 kW    	1.5 kW    
20220614163014	0.1 kW    	22%       	0.0 kW    	IDLE            	1.3 kW    	1.4 kW    
20220614161514	0.2 kW    	22%       	0.0 kW    	IDLE            	1.4 kW    	1.6 kW    
20220614160014	0.3 kW    	22%       	0.0 kW    	IDLE            	1.8 kW    	2.1 kW    
20220614154514	0.4 kW    	22%       	0.0 kW    	IDLE            	1.5 kW    	1.9 kW    
20220614153014	0.5 kW    	22%       	0.0 kW    	IDLE            	1.4 kW    	1.9 kW    
20220614151514	0.7 kW    	22%       	0.0 kW    	IDLE            	1.4 kW    	2.1 kW    
20220614150014	0.8 kW    	22%       	0.0 kW    	IDLE            	0.5 kW    	1.3 kW    
20220614144514	1.1 kW    	22%       	0.0 kW    	IDLE            	0.5 kW    	1.6 kW    
20220614143014	1.4 kW    	22%       	0.0 kW    	IDLE            	0.1 kW    	1.5 kW    
20220614141514	1.2 kW    	22%       	0.0 kW    	IDLE            	0.4 kW    	1.6 kW    
20220614140014	1.4 kW    	22%       	0.0 kW    	IDLE            	0.5 kW    	1.9 kW    
20220614134514	1.2 kW    	22%       	0.0 kW    	IDLE            	0.6 kW    	1.8 kW    
20220614133014	1.1 kW    	22%       	0.0 kW    	IDLE            	0.3 kW    	1.4 kW    
20220614131514	1.0 kW    	22%       	0.0 kW    	IDLE            	0.7 kW    	1.7 kW    
20220614130014	0.9 kW    	22%       	0.0 kW    	IDLE            	1.7 kW    	2.6 kW    
20220614124514	0.8 kW    	22%       	0.0 kW    	IDLE            	1.1 kW    	1.9 kW    
20220614123015	0.8 kW    	22%       	0.0 kW    	IDLE            	1.1 kW    	1.9 kW    
20220614121514	0.9 kW    	22%       	0.0 kW    	IDLE            	3.8 kW    	4.7 kW    
20220614120014	0.8 kW    	22%       	0.0 kW    	IDLE            	2.5 kW    	3.3 kW    
20220614114514	0.8 kW    	22%       	0.0 kW    	IDLE            	1.7 kW    	2.5 kW    
20220614113014	0.7 kW    	22%       	0.0 kW    	IDLE            	0.3 kW    	1.0 kW    
20220614111514	0.7 kW    	21%       	0.2 kW    	CHARGING        	0.0 kW    	0.5 kW    
20220614110014	0.6 kW    	21%       	0.1 kW    	CHARGING        	0.0 kW    	0.5 kW    
20220614104514	0.6 kW    	21%       	0.0 kW    	IDLE            	0.0 kW    	0.6 kW    
20220614103014	0.5 kW    	21%       	0.0 kW    	IDLE            	0.1 kW    	0.6 kW    
20220614101514	0.5 kW    	21%       	0.0 kW    	IDLE            	0.1 kW    	0.6 kW    
20220614100014	0.4 kW    	21%       	0.0 kW    	IDLE            	0.1 kW    	0.5 kW    
20220614094514	0.4 kW    	21%       	0.0 kW    	IDLE            	0.1 kW    	0.5 kW    
20220614093014	0.3 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	0.5 kW    
20220614091514	0.3 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	0.5 kW    
20220614090014	0.2 kW    	21%       	0.0 kW    	IDLE            	0.3 kW    	0.5 kW    
20220614084514	0.2 kW    	21%       	0.0 kW    	IDLE            	0.4 kW    	0.6 kW    
20220614083014	0.1 kW    	21%       	0.0 kW    	IDLE            	0.4 kW    	0.5 kW    
20220614081514	0.1 kW    	21%       	0.0 kW    	IDLE            	0.4 kW    	0.5 kW    
20220614080015	0.1 kW    	21%       	0.0 kW    	IDLE            	0.4 kW    	0.5 kW    
20220614074514	0.1 kW    	21%       	0.0 kW    	IDLE            	0.4 kW    	0.5 kW    
20220614073015	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220614071514	0.1 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	0.3 kW    
20220614070015	0.1 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	0.3 kW    
20220614064514	0.0 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	0.2 kW    
20220614063015	0.0 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	0.2 kW    
20220614061513	0.0 kW    	21%       	0.0 kW    	IDLE            	0.3 kW    	0.3 kW    
20220614060014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.3 kW    	0.3 kW    
20220614054513	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220614053014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.3 kW    	0.3 kW    
20220614051513	0.0 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	0.2 kW    
20220614050014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	0.2 kW    
20220614044514	0.0 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	0.2 kW    
20220614043013	0.0 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	0.2 kW    
20220614041514	0.0 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	0.2 kW    
20220614040013	0.0 kW    	21%       	0.0 kW    	IDLE            	0.3 kW    	0.3 kW    
20220614034513	0.0 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	0.2 kW    
20220614033014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	0.2 kW    
20220614031514	0.0 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	0.2 kW    
20220614030013	0.0 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	0.2 kW    
20220614024514	0.0 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	0.2 kW    
20220614023014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.3 kW    	0.3 kW    
20220614021516	0.0 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	0.2 kW    
20220614020014	0.0 kW    	21%       	0.0 kW    	IDLE            	3.8 kW    	3.8 kW    
20220614014514	0.0 kW    	21%       	0.0 kW    	IDLE            	3.8 kW    	3.8 kW    
20220614013014	0.0 kW    	21%       	0.0 kW    	IDLE            	3.9 kW    	3.9 kW    
20220614011514	0.0 kW    	21%       	0.0 kW    	IDLE            	3.8 kW    	3.8 kW    
20220614010014	0.0 kW    	21%       	0.0 kW    	IDLE            	3.9 kW    	3.9 kW    
20220614004514	0.0 kW    	21%       	0.0 kW    	IDLE            	3.8 kW    	3.8 kW    
20220614003014	0.0 kW    	21%       	0.0 kW    	IDLE            	3.7 kW    	3.7 kW    
20220614001514	0.0 kW    	21%       	0.0 kW    	IDLE            	3.8 kW    	3.8 kW    
20220614000014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	0.2 kW    
20220613234514	0.0 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	0.2 kW    
20220613233014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	0.2 kW    
20220613231514	0.0 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	0.2 kW    
20220613230014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.3 kW    	0.3 kW    
20220613224516	0.0 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	0.2 kW    
20220613223014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	0.2 kW    
20220613221514	0.0 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	0.2 kW    
20220613220015	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220613214514	0.0 kW    	21%       	0.0 kW    	IDLE            	1.5 kW    	1.5 kW    
